date,open,high,low,close,adj_close,volume
1993-01-29,43.9688,43.9688,43.7500,43.9375,24.1133,1003200
1993-02-01,43.9688,44.2500,43.9688,44.2500,24.2848,480500
1993-02-02,44.2188,44.3750,44.1250,44.3438,24.3362,201300
1993-02-03,44.4063,44.8438,44.3750,44.8125,24.5935,529400
1993-02-04,44.9688,45.0938,44.4688,45.0000,24.6964,531500
1993-02-05,44.9688,45.0625,44.7188,44.9688,24.6792,492100
1993-02-08,44.9688,45.1250,44.9063,44.9688,24.6792,596100
1993-02-09,44.8125,44.8125,44.5625,44.6563,24.5077,122100
1993-02-10,44.6563,44.7500,44.5313,44.7188,24.5420,379600
1993-02-11,44.7813,45.1250,44.7813,44.9375,24.6621,19500
1993-02-12,44.8750,44.8750,44.5938,44.5938,24.4734,42500
1993-02-16,44.4688,44.4688,43.4063,43.4688,23.8560,374800
1993-02-17,43.4688,43.5313,43.2813,43.4375,23.8389,210900
1993-02-18,43.9375,43.9375,42.8125,43.4063,23.8217,378100
1993-02-19,43.4063,43.5625,43.3438,43.5625,23.9075,34900
1993-02-22,43.6875,43.7813,43.5625,43.7188,23.9932,513600
1993-02-23,43.8438,43.8750,43.4688,43.6875,23.9761,373700
1993-02-24,43.7188,44.2500,43.7188,44.2500,24.2848,26300
1993-02-25,44.2188,44.3750,44.1250,44.3438,24.3362,44500
1993-02-26,44.4375,44.4375,44.1875,44.4063,24.3705,66200
1993-03-01,44.5625,44.5625,44.2188,44.2813,24.3019,66500
1993-03-02,44.3125,44.9375,44.2500,44.9375,24.6621,182400
1993-03-03,45.0000,45.1563,44.9375,45.1250,24.7650,280100
1993-03-04,45.1875,45.1875,44.8750,44.8750,24.6278,89500
1993-03-05,44.9375,45.1250,44.7188,44.7500,24.5592,40000
1993-03-08,44.8438,45.7500,44.8438,45.7500,25.1080,50800
1993-03-09,45.6563,45.6875,45.5000,45.5938,25.0222,169300
1993-03-10,45.5938,45.6875,45.4063,45.6875,25.0737,194400
1993-03-11,45.7188,45.8438,45.5000,45.5625,25.0051,70900
1993-03-12,45.1875,45.2188,44.8125,45.0938,24.7478,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,24.8679,310800
